Year	főváros összes	város összes	nagyközség összes	község összes	megyeszékhely összes	megyei jogú város összes	főváros ffi	város ffi	nagyközség ffi	község ffi	megyeszékhely ffi	megyei jogú város férfi	főváros nő	város nő	
1994-01-01	1931743	2558392	1185081	2736057	1792119	220959	890887	1239584	579939	1339473852388	1065391040856	1318808	605142	1396584939731	114420
1995-01-01	1910898	2556756	1171943	2758519	1873456	219845	881151	1237383	572990	1349086889905	1057691029747	1319373	598953	1409433983551	114076
1996-01-01	1889000	2583329	1184720	2723670	1864396	218536	870652	1248933	579103	1330460884846	1050241018348	1334396	605617	1393210979550	113512
1997-01-01	1865768	2620240	1149011	2722103	1858061	217326	859853	1265778	561277	1329227880969	1043831005915	1354462	587734	1392876977092	112943
1998-01-01	1826384	2689645	1052533	2736841	1839538	215474	838349	1297448	513230	1335773869485	103227988035	1392197	539303	1401068970053	112247
1999-01-01	1801483	2682649	1063955	2726522	1830095	214059	826149	1292578	518318	1330249863831	102269975334	1390071	545637	1396273966264	111790
2000-01-01	1775587	2705905	1035155	2731903	1820442	213025	813649	1302604	504102	1332632858328	101698961938	1403301	531053	1399271962114	111327
2001-01-01	1747305	2806204	942042	2739028	1808409	211599	799984	1350462	458842	1335705851898	100928947321	1455742	483200	1403323956511	110671
2002-01-01	1722093	2902854	847150	2738686	1797068	210269	787922	1396536	412681	1335475845824	100138934171	1506318	434469	1403211951244	110131
2003-01-01	1726872	2903838	866745	2740190	1795670	209982	793874	1398008	422425	1337379846008	100109932998	1505830	444320	1402811949662	109873
2004-01-01	1706927	2925985	842841	2739694	1782446	208527	783879	1408214	410843	1337635838879	99334923048	1517771	431998	1402059943567	109193
2005-01-01	1674882	3028914	730017	2736032	1767542	206582	764811	1456552	354981	1335583829292	98054910071	1572362	375036	1400449938250	108528
2006-01-01	1690109	3125765	645323	2738881	1770880	207447	775470	1505210	314384	1338418832115	98584914639	1620555	330939	1400463938765	108863
2007-01-01	1684523	3053911	661188	2728796	1764502	269127	772617	1470071	322458	1334087828049	128452911906	1583840	338730	1394709936453	140675
2008-01-01	1694005	3122276	608968	2711571	1826952	206227	778804	1503666	297459	1326900858022	97756915201	1618610	311509	1384671968930	108471
2009-01-01	1695023	3167690	565718	2705969	1761239	269726	780183	1526058	276519	1325312825614	128740914840	1641632	289199	1380657935625	140986
2010-01-01	1694942	3255026	472457	2698659	1756460	269238	780953	1568731	230895	1322324823274	128473913989	1686295	241562	1376335933186	140765
2011-01-01	1694900	3243450	471179	2688589	1750611	269389	781744	1563143	230374	1318142820245	128582913156	1680307	240805	1370447930366	140807
2012-01-01	1694426	3233217	469718	2679323	1745985	269051	782420	1558209	229763	1314748818195	128568912006	1675008	239955	1364575927790	140483
2013-01-01	1694614	3224346	469045	2669975	1741601	0	783556	1554828	229473	1311372816396	911058	1669518	239572	1358603925205	0
2014-01-01	1698406	3314377	388932	2644691	1737300	267743	787015	1599477	190449	1300543814801	128111911391	1714900	198483	1344148922499	139632
2015-01-01	1704649	3306792	388431	2640965	1731986	267347	791518	1596450	190451	1300446812805	127895913131	1710342	197980	1340519919181	139452
2016-01-01	1705272	3299234	388112	2637679	1725580	266783	793330	1593630	190397	1301191810423	127607911942	1705604	197715	1336488915157	139176
2017-01-01	1697367	3293047	388048	2634902	1715589	265908	789859	1590605	190571	1301208806155	127160907508	1702442	197477	1333694909434	138748
2018-01-01	1693051	3286511	387589	2631536	1706545	265221	789461	1588185	190422	1301209802069	126852903590	1698326	197167	1330327904476	138369
															
															
															
															
															
															
			"főváros_össz) + '\t' + str(város_össz) + '\t' + str(nagyközség_össz) + '\t' + str(
    község_össz) + '\t' + str(megyeszékhely_össz) + '\t' + str(mjv_össz) + '\t' + str(főváros_ffi) + '\t' + str(
    város_ffi) + '\t' + str(nagyközség_ffi) + '\t' + str(község_ffi) + str(megyeszékhely_ffi) + '\t' + str(
    mjv_ffi) + str(főváros_no) + '\t' + str(város_no) + '\t' + str(nagyközség_no) + '\t' + str(község_no) + str(
    megyeszékhely_no) + '\t' + str(mjv_no) + '\n'
of.write(o)"												
															
															
		"főváros_össz) + '\t' + str(város_össz) + '\t' + str(nagyközség_össz) + '\t' + str(
    község_össz) + '\t' + str(megyeszékhely_össz) + '\t' + str(mjv_össz) + '\t' + str(főváros_ffi) + '\t' + str(
    város_ffi) + '\t' + str(nagyközség_ffi) + '\t' + str(község_ffi) + str(megyeszékhely_ffi) + '\t' + str(
    mjv_ffi) + str(főváros_no) + '\t' + str(város_no) + '\t' + str(nagyközség_no) + '\t' + str(község_no) + str(
    megyeszékhely_no) + '\t' + str(mjv_no) + '\n'
of.write(o)"													
															
															
															
															
															
				össz	nő										
			főváros	0	0										
			község	0	0										
			MJV	0	0										
			megyeszékhely	0	0										
			nagyk	0	0										
			város	0	0										
